축제명,축제설명,f_요금,개최기간_시작,개최기간_종료,개최기간_총일수,개최장소_시도,개최장소_시군구,개최장소_읍면동,개최주기,최초개최연도,예산_합계,예산_국비,예산_지방비,예산_기타,방문객수_전체,방문객수_내국인,방문객수_외국인,방문객수_계측방법,f_관련 누리집,f_상세 URL,f_주최/주관기관,f_문의,addr1,mapx,mapy,first_image,dominant_macro,dominant_prob,topic_entropy,M1_자연계절,M2_역사문화,M3_먹거리특산물,M4_예술공연창작,M5_가족체험,M6_청년마켓,M7_과학레저
라온페스타,충장로 상권을 활성화 하기 위해 여러가지 프로그램을 운영함으로써 상권활성화에 기여한다. 모든 연령층이 어울려 즐길 수 있는 다양한 행사프로그램이 준비되어 있는 축제이다.,무료,2026-04-04,2026-11-07,7.0,광주광역시,동구,충장동,01. 매년,2022,2072,1036,1036,0,23024,23024,모름,99. 무응답,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=ece99852-13aa-466d-84ad-4e9f89e5e1ab,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=13160&pRo=100&pCurrentPage=20&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,광주광역시 동구,충장상권활성화 추진단 관리자 070-4111-4406,광주광역시 동구 충장로 94 (충장로2가),126.91694835998,35.1474235264676,https://tong.visitkorea.or.kr/cms/resource/18/4053918_image2_1.jpg,M7_과학레저,1.0,-1.0000000826903709e-10,7.131260139543453e-307,1.0692651455286278e-306,6.54464880890847e-307,8.863292260774988e-307,4.049902919588555e-307,2.9947982362894554e-307,1.0
태화강마두희축제,"울산 중구 원도심에서 펼쳐지는 마두희 큰줄당기기와 태화강에서의 수상줄당기기, 치맥페스티벌, DJ와 함께하는 EDM 파티, 씨름 대회등 다양한 체험으로 여름이 핫한 2025 태화강마두희 축제이다.",입장료 무료(일부 체험프로그램 유료),2026-06-19,2026-06-21,3.0,울산광역시,중구,-,01. 매년,2014,830,0,830,0,293000,293000,모름,99. 무응답,https://www.ulsanmaduhee.co.kr/pages/index.html,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=13165&pRo=683&pCurrentPage=137&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,태화강마두희축제 추진위원회,관리자 052-244-2007,경기 성남시 중원구 성남동 4827,127.124731847293,37.4256356495889,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1748304336839.jpg,M2_역사문화,0.1746038435012874,1.9311755626179616,0.1690827389814773,0.1746038435012874,0.1206696614082687,0.1597042475367929,0.141880422962809,0.1041899407610969,0.1298691448482677
워터버블페스티벌,"워터 버블 페스티벌은 2014년 ""모두가 주인공이 될 수 있는 축제를 만들어보자"" 라는 비전으로 기획되었다. 연령, 성별을 떠나 모두가 함께하는 체험형 축제를 추구하고 있다.",무료,2026-08-14,2026-08-15,2.0,울산광역시,중구,성남동,01. 매년,2014,30,0,30,0,2000,2000,모름,01. 계측,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=9677f6a8-8149-4a1c-99ed-f5a0df121df4,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=12584&pRo=1373&pCurrentPage=275&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,젊음의거리상인회,관리자 052-264-3805,울산 중구 젊음의거리 73,129.32108664817,35.5543600679399,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1722212674166.jpg,M5_가족체험,0.5021490622258243,1.5755867517531583,0.0953568316457636,0.0999674365459887,0.074221327898559,0.0961735427320793,0.5021490622258243,0.05493847203649,0.0771933269152947
울산고래축제,"수천 년 전 선사시대부터 이어져 온 고래문화를 기념하는 울산의 대표축제 중 하나인 울산고래축제는 근대 포경산업의 중심지였던 장생포를 기반으로 1995년부터 개최되고 있다. 2025년 9월, 울산 장생포 고래문화특구에서 열리는 제29회 울산고래축제는 고래의 선물(Gift from a Whale)이라는 주제로 생태와 예술, 기술과 체험이 어우러진 미래형 콘텐츠를 선보인다.","무료(체험 프로그램 일부 유료 예정/ 5,000원~10,000원 이하)",2026-10-01,2026-01-01,4.0,울산광역시,남구,야음장생포동,01. 매년,1995,1700,0,1700,0,320000,320000,모름,02. 추정,https://www.ulsanwhale.com/,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=12646&pRo=384&pCurrentPage=77&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,(재)고래문화재단,(재)고래문화재단 관리자 052-226-0028~9,울산 남구 장생포고래로 244,129.380765444029,35.5027658792613,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1756082001806.jpg,M2_역사문화,0.2266751437969653,1.870846585906892,0.1625552246451161,0.2266751437969653,0.1103448807066987,0.142279980272222,0.0831774742279092,0.0705469359909331,0.2044203603601553
김포 벚꽃축제,"오는 4월 11일부터 이틀간, 김포의 벚꽃 명소 계양천이 핑크빛 설렘으로 물듭니다! 이번 축제는 단순한 관람을 넘어 시민이 직접 주인공이 되는 뜻깊은 자리로 마련되었다. 자연에 집중하는 시간: 오롯이 벚꽃이라는 이름처럼, 자연이 주는 순수한 아름다움 속에서 진정한 휴식을 즐길 수 있다. 시민이 만드는 무대: 시민예술학교 수료생들의 우쿠렐레와 마술 공연이 더해져 더욱 따뜻한 화합의 장이 펼쳐진다. 감성 충전 완료: 버스킹 공연과 포토존, 편안한 쉼터가 마련되어있다.",무료,2026-04-11,2026-04-12,2.0,경기도,김포시,김포본동,01. 매년,2025,30,0,30,0,70000,70000,모름,99. 무응답,https://www.gimpo.go.kr/portal/index.do,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=13028&pRo=25&pCurrentPage=5&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,김포시,김포문화재단 관리자 031-980-5113,경기도 김포시 북변동,126.718164,37.625399,https://tong.visitkorea.or.kr/cms/resource/61/3489661_image2_1.jpg,M1_자연계절,0.260914980714687,1.8739487117416511,0.260914980714687,0.1830531604072724,0.1129798841011552,0.1317956450769512,0.0978555974526541,0.0818434488873546,0.1315572833599252
양주국가유산 야행,"양주국가유산 야행은 양주관아지 일원의 역사문화유산을 활용한 야간형 문화향유 프로그램이다. 양주국가유산 야행은 양주관아지 일원의 문화유산(양주관아지, 어사대비, 양주향교, 양주별산대놀이 등)을 빛으로 연출한 아름다운 야간경관과 함께 양주의 역사속 인물들과 사실들을 바탕으로 구성된 주제(8夜)별 프로그램을 즐길 수 있다.",입장 무료 (일부 체험프로그램 유료),2026-09-11,2026-09-20,10.0,경기도,양주시,양주1동,01. 매년,2020,493,157,336,0,100000,100000,모름,02. 추정,http://www.yangjufestival.kr/,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=13282&pRo=455&pCurrentPage=91&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,양주시,관리자 031-8082-5673,경기 양주시 부흥로1399번길 15,127.029570601017,37.7856576444663,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1756340666121.jpg,M2_역사문화,0.2475616314920065,1.8878547412346989,0.1672629933336444,0.2475616314920065,0.126649469292342,0.1413196794556693,0.089745794831132,0.0878825436005951,0.1395778879946105
광명마당극축제,"유난히 무더웠던 24년 여름, 시대를 읽는 풍자와 해학의 무대가 펼쳐졌던 광명시민운동장에 한국 전통 마당극의 맥을 잇는 전국 유일의 축제가 돌아왔다. 축제는 전국의 마당극 및 퓨전국악, 서커스 등 풍성한 야외 퍼포먼스와 시민 참여 프로그램으로 누구나 부담 없이 다양하게 즐길 수 있다. <2025 광명마당극축제>는 광명 시민의 흥과 신명을 바탕으로 사람과 사람을 연결하고 지역과 시대가 대화하는 살아 있는 언어를 가장 아름답게 구현하는 자리가 될 것이다.",무료,2026-09-11,2026-09-13,3.0,경기도,광명시,철산동,01. 매년,2024,170,0,170,0,10388,10388,모름,02. 추정,https://www.gmcf.or.kr/Community/BoardNotice/Details?articleId=232885,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=13264&pRo=522&pCurrentPage=105&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,"(재)광명문화재단, (사)한국민족극협회",관리자 02-2621-8863~4,경기 광명시 시청로 20,126.864786194632,37.4770629516734,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1755648857511.jpg,M2_역사문화,0.3236373887207232,1.7975514662037393,0.1496914054444319,0.3236373887207232,0.151237743370714,0.1255476689539482,0.0691564108554189,0.0515386024517823,0.1291907802029815
안성맞춤 남사당 바우덕이축제,"안성맞춤 남사당 바우덕이축제는 우리나라 중요무형문화재 및 유네스코 세계 무형문화유산으로 지정된 남사당놀이를 소재로 한 축제로, 조선 전국 3대 장터의 풍성함을 안성 옛 장터로 재현하고, 각종 체험 및 전시회, 남사당 공연, 해외 민속 공연과 전통 · 현대 공연 등이 펼쳐진다. 또한, 2024-2025 문화체육관광부 선정 문화관광축제로 문화와 관광을 아우르는 풍성한 프로그램을 제공한다.",무료,2026-10-02,2026-10-05,4.0,경기도,안성시,-,01. 매년,2001,21826,40,21786,0,603622,603622,모름,01. 계측,https://www.anseong.go.kr/festival/main.do,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=13331&pRo=318&pCurrentPage=64&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,안성시,안성맞춤 남사당 바우덕이축제위원회 관리자 031-678-5414,경기도 안성시 보개면 남사당로 198,127.305410386779,37.0336344680845,https://tong.visitkorea.or.kr/cms/resource/54/3540554_image2_1.JPG,M4_예술공연창작,0.3486812057561845,1.752366241834245,0.1115599210946244,0.1824316685644424,0.1236229730007983,0.3486812057561845,0.0627656152470015,0.0424319652504344,0.1285066510865141
안성맞춤포도축제,"안성포도의 우수성을 홍보하고 브랜드 가치 향상 및 농가 소득 증대를 위하여 안성 포도 농가와 함께 축제 기간에 맛 좋은 포도를 판매한다. 포도 품평회, 포도와인 만들기, 지역 농산물 판매, 노래자랑 등 다양한 행사를 기획하고 있다.",무료,2026-01-01,2026-01-01,3.0,경기도,안성시,서운면,01. 매년,2007,55,0,50,5,미집계,미집계,미집계,03. 미집계,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=68c11dc3-fcbb-47d8-a2a6-df31b271542a,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=12707&pRo=1302&pCurrentPage=261&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,안성시 포도축제위원회,관리자 031-678-3732,경기 안성시 서운면 인리 산 29-1,127.28204275414,36.930671967904,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1504657034718.jpg,M1_자연계절,1.0,-1.0000000826903709e-10,1.0,5.14378801266145e-307,3.1621599945773763e-307,4.8548735703010185e-307,2.9502087442751e-307,2.48444373581471e-307,2.971462892052269e-307
의왕백운호수축제,"의왕백운호수축제는 아름다운 자연경관을 자랑하는 백운호수를 배경으로 매년 가을 열리는 지역 대표 문화축제이다. 이 축제는 의왕시민은 물론 외부 관광객들에게도 큰 사랑을 받고 있으며, 자연과 예술, 문화가 어우러진 다채로운 프로그램으로 구성되어 있다. 특히 이번 축제는 새롭게 단장된 백운호수공원 잔디광장에서 자연을 더욱 가까이 느낄 수 있는 공간에서 펼쳐진다. 백운호수의 풍경 속에서 열리는 유명 가수의 음악 공연, 유·무료 체험 프로그램, 버스킹, 각종 이벤트, 음식 마당 등은 남녀노소 모두가 즐길 수 있는 다양한 즐거움을 선사한다. 또한 지역 예술인과 주민들이 함께 참여하여 공동체의 소통과 화합을 도모하는 축제로 자리매김하고 있다. 도심의 일상에서 벗어나 자연 속에서 여유와 문화를 동시에 누릴 수 있는 의미 있는 행사이다.",무료(일부 체험프로그램 유료),2026-09-01,2026-10-01,2.0,경기도,의왕시,학의동,01. 매년,2001,595,0,595,0,60000,60000,모름,99. 무응답,http://uwfest.com,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=11661&pRo=404&pCurrentPage=81&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,의왕시,관리자 031-345-2536,경기 의왕시 학의동 산 75-5,127.005948028766,37.3796591312753,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1758500268511.jpg,M1_자연계절,0.2277074375906222,1.894422720937416,0.2277074375906222,0.193387783486656,0.1172357774105793,0.1366583922864677,0.1033649263364289,0.0857570442232335,0.1358886386660121
강릉단오제,"강릉단오제는 유네스코 인류무형문화유산이자 천년의 전통을 가진 대한민국 대표 축제로 매년 50만명이상의 관광객이 찾고 있다. 2025 강릉단오제 주제는 유네스코 인류무형문화유산 선정 20주년 기념 <스무 살, 단오>이며 5월 27일부터 6월 3일까지 8일간 진행된다. 강릉단오제는 전통 문화의 정수인 ‘제례’와 신과 사람이 소통하는 ‘굿판’, 전국 최대 규모의 난장이 펼쳐지고, 국가 지정 문화유산, 시민참여행사, 민속놀이 행사 등 풍성한 프로그램이 마련되어 있다.",무료,2026-06-15,2026-06-22,8.0,강원도,강릉시,-,01. 매년,미상,2708,0,2708,0,956000,956000,모름,01. 계측,https://www.danojefestival.or.kr/contents.asp?page=536,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=12405&pRo=728&pCurrentPage=146&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,"(사)강릉단오제위원회, (사)강릉단오제보존회","국립무형유산원, 한국문화재재단, 강원도, 강릉시 관리자 033-641-1593",강원특별자치도 강릉시 단오장길 1,128.894988372449,37.748158284285,https://tong.visitkorea.or.kr/cms/resource/76/4057376_image2_1.JPG,M4_예술공연창작,0.7003444351625324,1.119226717253654,0.0513787443637679,0.0800763181302535,0.0673851922909475,0.7003444351625324,0.0289560086360351,0.0190434925180451,0.0528158088984182
경포 썸머 페스티벌,"경포 썸머 페스티벌은 강릉 경포해변에서 매년 여름 개최되는 강릉 대표 여름 축제이다. 올 해는 2025년 7월 29일부터 8월 4일까지, 7일 간 펼쳐지며 매일 새로운 장르 아티스트 공연과 다채로운 해변 레저 프로그램, 이벤트 등 다양한 볼거리와 놀거리를 만날 수 있다. 무더위가 한창인 낮 프로그램으로는 송림에서 진행되는 송림 썸머마켓(플리마켓)과 송림 힐링존(휴게존)이 준비되며 무대 앞에서 진행되는 물총 배틀과 가장 강한 사람을 뽑는 스테이지 파이터, 2026 강릉세계마스터즈탁구선수권대회 유치를 기념한 탁구 레전드 챌린지가 진행된다. 경포의 명물 오리바위 다이빙대 체험 이벤트와 바다위에 놓여진 다리, 폰툰(부교) 위에서 진행되는 폰툰 미니게임을 진행하며 단 한명의 우승자를 가리는 다이나믹한 게임이 준비되어 있다. 경포해수욕장을 더욱 뜨겁게 즐기고 싶은 사람을 위한 비치핏(BEACH FIT)에서는 생활체육인들의 경쟁심을 자극하는 뜨거운 대회가 준비되어 있다. 비치핏은 씨름대회, 빅볼, 비치발리볼, 해변 크로스핏 체험 3가지로 구성되어 있다. 매일 7시 20분부터는 펑키투나잇의 공연으로 본 공연의 기대감과 설렘을 미리 고조시키는 실력파 아티스트의 공연 시간을 가지며 8시에는 장르 별 메인 아티스트들의 공연이 진행된다. 매일마다 다른 장르로 진행되는 각 유명 아티스트들의 공연 진행 후에는 EDM 나이트로 페스티벌의 매일 밤을 뜨겁게 불태울 공연이 준비되어 있다.",무료,2026-07-28,2026-08-03,7.0,강원도,강릉시,-,01. 매년,1997,400,0,400,0,81266,81266,모름,01. 계측,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=43eaf698-188c-4b6b-b05f-29f0065ce6ea,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=12548&pRo=599&pCurrentPage=120&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,강릉시청,MBC 강원영동 관리자 033-640-5130,강원특별자치도 강릉시 창해로 514,128.910210247605,37.8034055083125,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1752711300952.jpg,M1_자연계절,0.1891019421745,1.9110917981684303,0.1891019421745,0.1839955450812308,0.1345471440604227,0.1636703038945486,0.1080646571700903,0.0803688794305057,0.1402515281887016
동해무릉제,"제38회 동해무릉제는 2025년 9월18일부터 21일까지 4일간 동해웰빙레포츠타운에서 개최되는 동해시 대표 전통문화축제이다. 이번 축제의 부제는 ""하나된 동해, 희망의 울림""으로, 시민 화합과 지역문화 계승, 지역경제 활성화를 목표로 한다. 축제는 제전행사, 공연행사, 체험 빛 홍보행사, 문화예술 전시 등으로 구성되어 있다. 주요 프로그램으로는 산신제와 풍년제, 개막공연, 세대공감 콘서트, 무릉 낭만콘서트, 동해가요제, DMF 댄스페스티벌, 시민 퍼레이드 등이 있다. 또한 중국 요령성과의 국제교류 공연, 민속놀이, 농악 시연 등 전통문화 재현 행사가 마련되어 있다. 체험 프로그램으로는 공방 체험, 건강검진, 민속체험관 운영 등이 있으며, 동해사랑 영수증 투어와 같은 참여형 프로그램도 운영된다. 축제 기간 동안 향토 음식 부스, 다문화 음식 체험, 강원 한우와 전통주 판매 등 다양한 먹거리 공간과 풍물시장이 운영된. 이번 무릉제는 세대와 지역을 아우르는 공연과 체험, 소비자 참여형 프로그램을 통해 지역 대표 축제로 자리매김하고 있다.",무료,2026-09-01,2026-09-01,0.0,강원도,동해시,천곡동,01. 매년,1984,840,0,840,0,70000,70000,모름,99. 무응답,http://dhfesta.or.kr/dmrf/,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=12682&pRo=467&pCurrentPage=94&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,동해시,동해문화관광재단 관리자 033-532-1945,강원특별자치도 동해시 덕골길 10,129.099329023985,37.5174992248055,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1756426446215.jpg,M4_예술공연창작,0.2357552322441407,1.8863760449876168,0.1618596912549803,0.1539575238258647,0.1143704977486975,0.2357552322441407,0.10495202475744,0.0696469336178715,0.1594580965510049
태백 천상의 산나물 축제,"대한민국에서 가장 늦게 봄을 맞이하는 고원도시 태백에서 오는 5월 2일부터 5월 4일까지 3일간 태백 장성탄탄마당(장성중앙시장) 일원에서 ‘태백산나물 축제’가 열린다. 이번 축제는 해발고도가 높은 지역에서 재배되어 맛과 향이 진한 태백산나물을 저렴한 가격에 만나볼 수 있는 기회로, 지역 특산물의 우수성을 널리 알리는 장이 될 전망이다. 행사 기간 동안에는 다양한 공연과 먹거리 장터, 경연대회, 체험 프로그램이 마련되어 있어 가족 단위 관광객과 지역 주민 모두가 즐길 수 있는 풍성한 볼거리를 제공한다. 특히 야시장과 프리마켓이 함께 운영되어 태백만의 따뜻한 정취와 활기를 느낄 수 있을 것으로 기대된다. 태백시는 이번 축제를 통해 지역 경제 활성화와 관광객 유치를 동시에 도모하며, 늦은 봄의 정취와 함께 태백산나물의 매력을 전국에 알릴 계획이다.",무료,2026-04-24,2026-04-26,3.0,강원도,태백시,장성동,01. 매년,2018,255,0,250,5,29500,29500,모름,02. 추정,https://www.taebaek.go.kr/,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=12221&pRo=1851&pCurrentPage=371&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,태백산나물축제위원회,태백 산나물축제 위원회 관리자 033-550-2726,강원특별자치도 태백시 장성1길 175-1 (장성동),129.00789068775,37.1013472523941,https://tong.visitkorea.or.kr/cms/resource/07/4058907_image2_1.jpg,M4_예술공연창작,0.3777833286251918,1.7100283749246237,0.2071420035656599,0.1286725607912504,0.0797821131079053,0.3777833286251918,0.0752811946591459,0.0549184605693259,0.0764203386815203
평창더위사냥축제,"연중 10℃의 시원한 냉천수가 흐르는 땀띠공원 주변에서 다양한 체험프로그램과 공연이 진행된다. 여름철 휴식이 필요한 도시민들이 더위에 지친 몸과 마음을 쉬어갈 수 있는 곳이다. 올해 축제에서는 축제의 대표 프로그램인 땀띠귀신사냥 워터워를 비롯해 양동이 물폭탄, 대형 돗자리 그늘막 등이 마련되어 있어 휴식과 체험이 동시에 가능하다. 매년 7월 말 개최되던 축제가 올해부터 8월로 개최일정을 바꾸어 8월 1일부터 10일까지 10일간 개최될 예정이다. 지역의 대표 먹거리와 각종 체험을 즐길 수 있는 축제로 변화를 준비하고 있다.",유료(홈페이지 참고),2026-07-01,2026-08-01,16.0,강원도,평창군,대화면,01. 매년,2013,599,0,599,0,35246,35246,모름,01. 계측,http://summer-hunter.com/,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=12526&pRo=594&pCurrentPage=119&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,평창더위사냥축제위원회,관리자 033-334-2277,강원특별자치도 평창군 대화면 해뜰마을길 49-7,128.450721725752,37.5032116771235,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1751329206779.jpg,M5_가족체험,0.2728299057476876,1.875891440491188,0.139343999739512,0.1476502053218121,0.1046091890701863,0.1386612527250943,0.2728299057476876,0.0840082938970029,0.1128971534987045
평창효석문화제,"2025 평창효석문화제’는 이효석 문학의 백미이자, 한국문학을 대표하는 단편 소설 메밀꽃 필 무렵의 무대인 봉평장과 소금을 뿌린 듯한 하얀 메밀꽃을 배경으로 한 문학의 서정성을 기반한 문화예술마당과 지친 일상을 잠시 잊고, 흥에 취하는 신나는 공연과 소박한 먹거리 그리고 시골 장터에서 만나는 추억은 옛날 생필품을 사러 나온 동네 어르신들의 구수한 사투리와 푸짐한 인심, 다향한 풍경의 향수를 하나 더 만들며 신나게 즐기는 축제마당. 그리고, 흥정천 휴식공간으로 소중한 나를 찾는 사색의 시간으로 지친 삶의 무게를 잠시 내려놓고 내일의 희망을 그려보는 힐링마당으로 구성하였다.",무료,2026-09-01,2026-09-01,10.0,강원도,평창군,봉평면,01. 매년,1999,645,0,645,0,195000,195000,모름,01. 계측,https://www.hyoseok.com/,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=11578&pRo=511&pCurrentPage=103&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,사단법인 이효석문학선양회,관리자 033-335-2323,강원특별자치도 평창군 봉평면 이효석길 157,128.371595353512,37.6140421019084,https://tong.visitkorea.or.kr/cms/resource/28/3523028_image2_1.jpg,M2_역사문화,0.2503724300929548,1.858339512509416,0.1534772684339677,0.2503724300929548,0.1118192827663698,0.1316535825361225,0.080981350976815,0.0694761490338469,0.202219936159923
평창농악축제,"평창군이 가진 아름다운 유산 중 하나, 강원도 무형문화재 둔전평농악을 바탕으로 한 축제를 성장 및 발전시키고자 개최한 전통 민속예술축제이다. 평창군 8개 읍면의 9개 단체 민속보존회의 공연과 다양한 장르의 전국의 특색 있는 민속예술 공연을 한자리에서 만나볼 수 있는 축제로, 공연 이외 전통음식 만들기, 한가위 민속놀이, 가마 체험 등 다양한 전통 민속 체험 프로그램을 운영 중에 있다.","공연관람, 민속놀이체험 : 무료 | 향토음식체험 : 유료(3천원 ~)",2026-09-01,2026-09-01,3.0,강원도,평창군,용평면,01. 매년,2019,267,0,267,0,11500,11500,모름,01. 계측,https://www.xn--980bz78al6bd8h.kr,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=11595&pRo=1301&pCurrentPage=261&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,평창농악축제위원회,평창농악축제위원회 관리자 033-332-4333,강원특별자치도 평창군 용평면 장평리,128.428469009715,37.5709389733723,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1725581779013.jpg,M4_예술공연창작,0.6387415116686425,1.2658326775680655,0.0616468872601171,0.1038095050050991,0.0712202475993526,0.6387415116686425,0.0346261613711453,0.0231774184602215,0.0667782686354216
평창백일홍축제,"백일홍은 100일동안 붉게 피는 꽃으로 백일홍 또는 백일초라고 불린다. 6월~10월 사이에 개화를 하며, 인연, 행복, 순결 이라는 꽃말을 가지고 있다. 평창백일홍축제장에는 다양한 색깔의 백일홍과 코스모스, 해바라기, 넝쿨식물, 대왕참나무숲길이 조성되어 있다. 평창강변에 펼쳐진 백일홍 꽃밭을 거닐 수 있다.",유료,2026-09-01,2026-10-01,10.0,강원도,평창군,평창읍,01. 매년,2015,363,0,363,0,96261,96261,모름,01. 계측,https://www.101hongfestival.co.kr/,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=11653&pRo=1286&pCurrentPage=258&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,평창백일홍축제위원회,평창백일홍축제위원회 관리자 033-330-6033,강원특별자치도 평창군 평창읍 제방길 33-6,128.385695025897,37.3626285559442,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1723509477668.jpg,M2_역사문화,1.0,-1.0000000826903709e-10,6.45688714695114e-307,1.0,6.835593336291987e-307,5.477557436295393e-307,3.30466321083776e-307,3.179126948943068e-307,6.540257288341144e-307
평창송어축제,"우리 조상들은 매년 겨울이 되면 눈이 많이 내려 옆집까지 서로 줄을 메어놓고, 그 줄을 따라 눈 터널을 만들어 왕래를 하였고, 차가운 강바람에 개여울이 일찍 합강(合江)되면 강속의 큰 바위를 망치로 두드려 겨울 물고기를 사냥해서 한끼니를 때우던 그 어렵던 시절이 있었다. 바로 이곳에 우리 선조들의 삶의 핍박을 축제로 승화시켜 눈과, 얼음, 송어가 함께하는 겨울이야기 라는 주제로 매년 12월말부터 1월말까지 평창송어축제가 한마당 펼쳐진다. 얼음 위에서 보면 오대천에서 노니는 어류가 투명하게 보이는 가운데 송어낚시의 짜릿한 손맛을 느끼며 다양한 겨울체험 행사와 함께 진정한 겨울축제의 즐거움을 함께 느낄 수 있다.",유료,2026-01-09,2026-02-09,32.0,강원도,평창군,진부면,01. 매년,2007,898,18,880,0,227725,227725,모름,01. 계측,https://www.festival700.or.kr/,https://www.mcst.go.kr/site/s_culture/festival/festivalView.jsp?pSeq=12062&pRo=76&pCurrentPage=16&pOrder=01up&pPeriod=&fromDt=20200101&toDt=&pSido=&pSearchType=01&pSearchWord=,평창송어축제위원회,관리자 033-336-4000,강원특별자치도 평창군 진부면 경강로 3562,128.556991232543,37.6331795130163,https://tong.visitkorea.or.kr/cms/resource/81/4002581_image2_1.jpg,M4_예술공연창작,1.0,-1.0000000826903709e-10,7.953403717935741e-307,4.931297196561303e-307,3.319405956692199e-307,1.0,2.831257584505363e-307,2.1315181660972902e-307,2.9519691613192656e-307
